! 13C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
27.000000	1494.36   	27.000000	1464.46   	27.000000	1477.91   	27.000000	1474.59   	27.000000	1477.55   	27.000000	10.0277   	27.000000	5.57773   	27.000000	15.9946   	27.000000	15.5693   	27.000000	15.5537   	
29.000000	1694.48   	29.000000	1660.33   	29.000000	1678.4    	29.000000	1674.49   	29.000000	1678      	29.000000	11.4449   	29.000000	6.30452   	29.000000	18.0821   	29.000000	17.4913   	29.000000	17.6019   	
31.000000	1905.72   	31.000000	1867.29   	31.000000	1890.78   	31.000000	1886.3    	31.000000	1890.36   	31.000000	12.9518   	31.000000	7.07164   	31.000000	20.2932   	31.000000	19.5171   	31.000000	19.7736   	
33.000000	2127.92   	33.000000	2085.21   	33.000000	2114.28   	33.000000	2109.31   	33.000000	2113.84   	33.000000	14.5341   	33.000000	7.87195   	33.000000	22.6186   	33.000000	21.6381   	33.000000	22.0596   	
35.000000	2360.9    	35.000000	2313.94   	35.000000	2348.65   	35.000000	2343.25   	35.000000	2348.18   	35.000000	16.1892   	35.000000	8.70365   	35.000000	25.0552   	35.000000	23.8515   	35.000000	24.4572   	
38.000000	2730.27   	38.000000	2676.99   	38.000000	2720.25   	38.000000	2714.33   	38.000000	2719.73   	38.000000	18.8069   	38.000000	10.0094   	38.000000	28.915    	38.000000	27.3411   	38.000000	28.2596   	
41.000000	3123.07   	41.000000	3063.6    	41.000000	3115.46   	41.000000	3109.21   	41.000000	3114.93   	41.000000	21.5849   	41.000000	11.3847   	41.000000	33.0158   	41.000000	31.0295   	41.000000	32.3047   	
44.000000	3538.83   	44.000000	3473.35   	44.000000	3533.86   	44.000000	3527.43   	44.000000	3533.32   	44.000000	24.5205   	44.000000	12.8277   	44.000000	37.3523   	44.000000	34.9116   	44.000000	36.5882   	
47.000000	3977.14   	47.000000	3905.83   	47.000000	3975.05   	47.000000	3968.59   	47.000000	3974.5    	47.000000	27.6108   	47.000000	14.3381   	47.000000	41.9197   	47.000000	38.9831   	47.000000	41.1057   	
50.000000	4437.58   	50.000000	4360.66   	50.000000	4438.59   	50.000000	4432.28   	50.000000	4438.06   	50.000000	30.8529   	50.000000	15.9134   	50.000000	46.7134   	50.000000	43.2398   	50.000000	45.8532   	
55.000000	5253.13   	55.000000	5167.37   	55.000000	5259.92   	55.000000	5254.18   	55.000000	5259.43   	55.000000	36.5858   	55.000000	18.6801   	55.000000	55.194    	55.000000	50.7351   	55.000000	54.2668   	
60.000000	6127.45   	60.000000	6033.5    	60.000000	6140.78   	60.000000	6136.03   	60.000000	6140.35   	60.000000	42.7188   	60.000000	21.6188   	60.000000	64.2721   	60.000000	58.7171   	60.000000	63.2926   	
65.000000	7058.99   	65.000000	6957.53   	65.000000	7079.78   	65.000000	7076.3    	65.000000	7079.31   	65.000000	49.2388   	65.000000	24.7216   	65.000000	73.9298   	65.000000	67.1705   	65.000000	72.9153   	
70.000000	8046.36   	70.000000	7938.02   	70.000000	8075.36   	70.000000	8073.58   	70.000000	8074.9    	70.000000	56.1331   	70.000000	27.9859   	70.000000	84.1504   	70.000000	76.0813   	70.000000	83.1206   	
75.000000	9088.22   	75.000000	8973.59   	75.000000	9126.23   	75.000000	9126.52   	75.000000	9125.78   	75.000000	63.3895   	75.000000	31.4064   	75.000000	94.9179   	75.000000	85.4362   	75.000000	93.8947   	
80.000000	10183.3   	80.000000	10063     	80.000000	10231.1   	80.000000	10233.9   	80.000000	10230.7   	80.000000	70.9964   	80.000000	34.9755   	80.000000	106.217   	80.000000	95.2229   	80.000000	105.225   	
85.000000	11330.5   	85.000000	11204.9   	85.000000	11388.9   	85.000000	11394.4   	85.000000	11388.4   	85.000000	78.9423   	85.000000	38.6917   	85.000000	118.034   	85.000000	105.43    	85.000000	117.099   	
90.000000	12528.8   	90.000000	12398.2   	90.000000	12598.2   	90.000000	12606.9   	90.000000	12597.9   	90.000000	87.2164   	90.000000	42.5509   	90.000000	130.355   	90.000000	116.047   	90.000000	129.506   	
95.000000	13776.9   	95.000000	13641.7   	95.000000	13858.2   	95.000000	13870.4   	95.000000	13857.9   	95.000000	95.8083   	95.000000	46.5468   	95.000000	143.166   	95.000000	127.062   	95.000000	142.433   	
100.000000	15074.1   	100.000000	14934.5   	100.000000	15167.7   	100.000000	15183.8   	100.000000	15167.4   	100.000000	104.708   	100.000000	50.6765   	100.000000	156.455   	100.000000	138.466   	100.000000	155.871   	
105.000000	16419.3   	105.000000	16275.3   	105.000000	16525.8   	105.000000	16546     	105.000000	16525.5   	105.000000	113.906   	105.000000	54.9363   	105.000000	170.21    	105.000000	150.251   	105.000000	169.809   	
110.000000	17811.7   	110.000000	17663.2   	110.000000	17931.5   	110.000000	17956.2   	110.000000	17931.1   	110.000000	123.392   	110.000000	59.3235   	110.000000	184.418   	110.000000	162.406   	110.000000	184.236   	
115.000000	19250.4   	115.000000	19097.3   	115.000000	19383.6   	115.000000	19413.2   	115.000000	19383.3   	115.000000	133.158   	115.000000	63.8334   	115.000000	199.069   	115.000000	174.923   	115.000000	199.143   	
120.000000	20734.5   	120.000000	20576.6   	120.000000	20881.5   	120.000000	20916.4   	120.000000	20881.2   	120.000000	143.195   	120.000000	68.4607   	120.000000	214.152   	120.000000	187.794   	120.000000	214.521   	
125.000000	22263.4   	125.000000	22100.3   	125.000000	22424.2   	125.000000	22464.6   	125.000000	22424     	125.000000	153.494   	125.000000	73.2058   	125.000000	229.655   	125.000000	201.01    	125.000000	230.361   	
130.000000	23836.3   	130.000000	23667.4   	130.000000	24011     	130.000000	24057.2   	130.000000	24010.8   	130.000000	164.048   	130.000000	78.0634   	130.000000	245.569   	130.000000	214.565   	130.000000	246.653   	
135.000000	25452.4   	135.000000	25277.1   	135.000000	25640.9   	135.000000	25693.3   	135.000000	25640.7   	135.000000	174.848   	135.000000	83.0315   	135.000000	261.883   	135.000000	228.45    	135.000000	263.39    	
140.000000	27111     	140.000000	26928.6   	140.000000	27313.2   	140.000000	27372     	140.000000	27313     	140.000000	185.887   	140.000000	88.1097   	140.000000	278.588   	140.000000	242.659   	140.000000	280.562   	
145.000000	28811.6   	145.000000	28621.1   	145.000000	29027.1   	145.000000	29092.7   	145.000000	29026.9   	145.000000	197.158   	145.000000	93.2921   	145.000000	295.675   	145.000000	257.184   	145.000000	298.162   	
150.000000	30553.3   	150.000000	30353.8   	150.000000	30781.9   	150.000000	30854.5   	150.000000	30781.6   	150.000000	208.653   	150.000000	98.5757   	150.000000	313.134   	150.000000	272.02    	150.000000	316.182   	
155.000000	32360.3   	155.000000	32126.1   	155.000000	32576.8   	155.000000	32656.7   	155.000000	32576.5   	155.000000	220.365   	155.000000	103.959   	155.000000	330.956   	155.000000	287.158   	155.000000	334.614   	
160.000000	34206.4   	160.000000	33937.1   	160.000000	34411.1   	160.000000	34498.7   	160.000000	34410.7   	160.000000	232.289   	160.000000	109.439   	160.000000	349.134   	160.000000	302.594   	160.000000	353.451   	
165.000000	36090.2   	165.000000	35786.2   	165.000000	36284.1   	165.000000	36379.6   	165.000000	36283.7   	165.000000	244.416   	165.000000	115.015   	165.000000	367.658   	165.000000	318.321   	165.000000	372.685   	
170.000000	38011     	170.000000	37672.8   	170.000000	38195.2   	170.000000	38298.9   	170.000000	38194.7   	170.000000	256.742   	170.000000	120.683   	170.000000	386.52    	170.000000	334.332   	170.000000	392.309   	
175.000000	39968.2   	175.000000	39596     	175.000000	40143.6   	175.000000	40255.9   	175.000000	40143.1   	175.000000	269.259   	175.000000	126.443   	175.000000	405.713   	175.000000	350.623   	175.000000	412.315   	
180.000000	41961     	180.000000	41555.4   	180.000000	42128.8   	180.000000	42249.8   	180.000000	42128.3   	180.000000	281.963   	180.000000	132.293   	180.000000	425.229   	180.000000	367.187   	180.000000	432.699   	
185.000000	43989.1   	185.000000	43550.2   	185.000000	44150.1   	185.000000	44280.3   	185.000000	44149.5   	185.000000	294.847   	185.000000	138.23    	185.000000	445.06    	185.000000	384.02    	185.000000	453.452   	
190.000000	46051.6   	190.000000	45579.9   	190.000000	46207     	190.000000	46346.5   	190.000000	46206.3   	190.000000	307.905   	190.000000	144.249   	190.000000	465.198   	190.000000	401.115   	190.000000	474.568   	
195.000000	48148.2   	195.000000	47643.9   	195.000000	48298.7   	195.000000	48447.9   	195.000000	48298     	195.000000	321.132   	195.000000	150.349   	195.000000	485.638   	195.000000	418.468   	195.000000	496.041   	
