! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
24.000000	1473.88   	24.000000	1443.72   	24.000000	1453.29   	24.000000	1451.31   	24.000000	1453.13   	24.000000	10.6718   	24.000000	6.02978   	24.000000	17.2802   	24.000000	16.7773   	24.000000	16.7497   	
25.000000	1583.68   	25.000000	1551      	25.000000	1562.51   	25.000000	1560.32   	25.000000	1562.35   	25.000000	11.5045   	25.000000	6.46309   	25.000000	18.5305   	25.000000	17.9265   	25.000000	17.9714   	
27.000000	1813.78   	27.000000	1775.99   	27.000000	1792.08   	27.000000	1789.46   	27.000000	1791.9    	27.000000	13.2614   	27.000000	7.3713    	27.000000	21.1576   	27.000000	20.3305   	27.000000	20.5404   	
29.000000	2057.68   	29.000000	2014.72   	29.000000	2036.39   	29.000000	2033.35   	29.000000	2036.19   	29.000000	15.1404   	29.000000	8.33465   	29.000000	23.9534   	29.000000	22.8747   	29.000000	23.2768   	
31.000000	2315.16   	31.000000	2267      	31.000000	2295.21   	31.000000	2291.8    	31.000000	2295.01   	31.000000	17.1381   	31.000000	9.35071   	31.000000	26.9154   	31.000000	25.5565   	31.000000	26.1785   	
33.000000	2585.99   	33.000000	2532.64   	33.000000	2567.61   	33.000000	2563.89   	33.000000	2567.41   	33.000000	19.2357   	33.000000	10.4103   	33.000000	30.0309   	33.000000	28.3649   	33.000000	29.2334   	
35.000000	2869.99   	35.000000	2811.46   	35.000000	2853.27   	35.000000	2849.3    	35.000000	2853.06   	35.000000	21.4297   	35.000000	11.512    	35.000000	33.2958   	35.000000	31.2959   	35.000000	32.4376   	
38.000000	3320.24   	38.000000	3254.04   	38.000000	3306.18   	38.000000	3302.02   	38.000000	3306      	38.000000	24.9      	38.000000	13.2423   	38.000000	38.4685   	38.000000	35.9175   	38.000000	37.5197   	
41.000000	3799.08   	41.000000	3725.36   	41.000000	3787.93   	41.000000	3783.73   	41.000000	3787.78   	41.000000	28.5827   	41.000000	15.0633   	41.000000	43.965    	41.000000	40.8029   	41.000000	42.9269   	
44.000000	4305.93   	44.000000	4224.9    	44.000000	4298.01   	44.000000	4293.91   	44.000000	4297.88   	44.000000	32.4745   	44.000000	16.9743   	44.000000	49.7783   	44.000000	45.9457   	44.000000	48.6531   	
